,Name,Brand,Key Ingredients,Benifits,Rating,No_of_Rating
434,Bakson's Sunny Arnica Hair Oil with Jaborandi,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Arnica, Amla, Brahmi, and Bhringraj",Best natural oil for hair growth and shiny hair,4.4,70 Ratings
435,SBL Apis Mellifica Dilution 30 CH,SBL Pvt Ltd,"Relieves swelling of eyelids, conjunctiva and eye puffiness",Relieves various eye-related discomforts,4.6,471 Ratings
436,ADEL 3 Apo-Hepat Drop,Adel Pekana Germany,Chionanthus virginica 4X,Promotes stomach secretion and excretion of urea,4.6,151 Ratings
437,Sunny Herbals Arnica Montana Hair Oil,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Arnica montana,Stimulates circulation,3.9,14 Ratings
438,SBL Sleeptite Tablet,SBL Pvt Ltd,Ferrum Phosphoricum 3x,Helps to reduce difficulty in falling asleep due to anxiety & restlessness,4.1,166 Ratings
439,Wheezal Jaborandi Hair Treatment Oil,Wheezal Homeo Pharma,Jaborandi Q,Helps to counter dandruff and prevents hair loss,4.3,640 Ratings
440,SBL Calcarea Fluorica Biochemic Tablet 12X,SBL Pvt Ltd,It is primarily used for the management of varicose veins and various skin conditions,It helps manage varicose veins and other skin disorders,4.5,1452 Ratings
441,SBL Scalptone Tablet,SBL Pvt Ltd,Acidum fluoricum 3x,Helps to counter hair loss,4.2,446 Ratings
442,Dr. Reckeweg Wiesbaden Dilution 30 CH,Dr Reckeweg & Co,Wiesbaden Dilution,Effective solution for hair problems,4.3,323 Ratings
443,SBL Histaminum Dilution 30 CH,SBL Pvt Ltd,Histamine Hydrochloride,Useful for various skin issues,4.5,672 Ratings
444,Boericke and Tafel Anti-Dandruff Shampoo,Dr Willmar Schwabe India Pvt Ltd,Lavendula,Helps reduce dandruff and other scalp conditions,4.2,303 Ratings
445,Allen A70 I.B.S.(Irritable Bowel Syndrome) Drop,Allen Homoeo & Herbal Products Ltd,This drop helps with a bloated lower abdomen,A natural solution,4.3,203 Ratings
446,SBL Aconitum Napellus Dilution 200 CH,SBL Pvt Ltd,Extract Of The Plant Monkshood,Manages concerns associated with physical and mental health,4.6,790 Ratings
447,SBL Hydrangea Arborescens Mother Tincture Q,SBL Pvt Ltd,Hydrangea Arborescens,Effective for urinary disorder,4.5,167 Ratings
448,Dr Willmar Schwabe India Sabal Pentarkan Drop,Dr Willmar Schwabe India Pvt Ltd,Used for urinary disturbances due to prostatic enlargement (BPH) and urinary tract infections,Helpful in relieving the problem of frequent micturition,4.5,245 Ratings
449,Sunny Herbals Anti Wrinkle Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Aloe vera,It reduces fine lines and wrinkles,4.5,44 Ratings
450,Sunny Herbals Hair Color 12 Sachets Dark Brown,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with henna powder, this product imparts rich, natural colour to your hair without harsh chemicals","Promotes hair strength, shine, and scalp health",4.3,88 Ratings
451,ADEL 7 Apo-Tuss Drop,Adel Pekana Germany,Armoracia Rusticana 8X,Regulates blood circulation and stimulates the digestive organs,4.7,132 Ratings
452,Sunny Herbals Hair Color Light Brown Sachet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Amla,Ensures a lasting light brown shade,4.6,22 Ratings
453,Dr. Reckeweg R19 Glandular Drops for Men,Dr Reckeweg & Co,Glandulae suprarenales,Helps in preventing endocrine diseases,4.3,142 Ratings
454,Bakson B22 Sinus Drop,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Arsenicum album, Calcarea carbonica, Hydrastis canadensis, Kalium bichromicum, Pulsatilla nigricans","B22 drops help relieve symptoms such as frequent sneezing, and a stuffy nose",4.4,190 Ratings
455,Sunny Herbals Foot Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Aloevera,Medicated antiseptic foot cream to provide instant hydration,4.6,26 Ratings
456,Dr. Reckeweg Yohimbinum Mother Tincture Q,Dr Reckeweg & Co,Yohimbinum,Promotes relaxation of blood vessels and manages blood pressure levels,4.4,124 Ratings
457,SBL Agnus Castus Dilution 30 CH,SBL Pvt Ltd,Its primary use includes treatment of a psychological disorder such as depression and anxiety,A homeopathy solution that is safe for consumption,4.3,421 Ratings
458,Wheezal Jaborandi Hair Treatment Oil,Wheezal Homeo Pharma,Jaborandi Q,Helps to counter dandruff and prevents hair loss,4.3,640 Ratings
459,SBL Calcarea Carbonica Dilution 200 CH,SBL Pvt Ltd,Useful during chronic fatigue,Helpful in treating eczema in children,4.6,500 Ratings
460,Sunny Herbals Under Eye Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Revitalises the skin around the eyes: The cream contains essential oils, aloe vera, arnica, and cucumber distillates, which work in synergy to rejuvenate the skin around the eyes. This revitalization results in a visibly brighter and smoother appearance, making your eyes look more refreshed",Revitalises the skin around the eyes,4.2,58 Ratings
461,Dr Willmar Schwabe India Munostim Globules,Dr Willmar Schwabe India Pvt Ltd,Echinacea angustifolia,It is a homeopathy solution and is safe for consumption,4.6,242 Ratings
462,SBL Petroleum Cream,SBL Pvt Ltd,Petroleum,Relieves dryness and itching,4.6,151 Ratings
463,Sunny Herbals Hair Color 12 Sachets Light Brown,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with henna powder, this product imparts rich, natural colour to your hair without harsh chemicals","Promotes hair strength, shine, and scalp health",4.3,88 Ratings
464,Dr. Reckeweg R57 Pulmonary Tonic,Dr Reckeweg & Co,Arsenum Jodatum,It helps in detoxifying the liver,4.6,132 Ratings
465,SBL Drops No. 7 (For Sinusitis),SBL Pvt Ltd,Alleviates the signs and symptoms of sinusitis,Helps with sinusitis ,4.4,186 Ratings
466,Sunny Herbals Hair Color 12 Sachets Burgundy,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with henna powder, this product imparts rich, natural colour to your hair without harsh chemicals","Promotes hair strength, shine, and scalp health",4.3,88 Ratings
467,SBL Andrographis Paniculata Mother Tincture Q,SBL Pvt Ltd,Helpful in chronic fevers and helps in boosting immunity system,Helpful in fever,4.6,211 Ratings
468,SBL Silicea Biochemic Tablet 6X,SBL Pvt Ltd,Silicon dioxide,Useful for bone disorders ,4.5,415 Ratings
469,Bakson's Sunny Arnica Hair Oil with Jaborandi,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Arnica, Amla, Brahmi, and Bhringraj",Best natural oil for hair growth and shiny hair,4.4,70 Ratings
470,Dr Willmar Schwabe India Bacopa Monnieri Brahmi Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,It helps in improving memory and concentration,NA,4.6,182 Ratings
471,Dr Willmar Schwabe India Aesculus Pentarkan Drop,Dr Willmar Schwabe India Pvt Ltd,Effective for piles and varicose veins: Aesculus Pentarkan is a valuable remedy for managing both piles and varicose veins,Manages piles and varicose veins,4.3,180 Ratings
472,Sunny Herbals Aloevera+Calendula Bathing Bar,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Aloe vera's moisturising properties help keep the skin hydrated and supple,Gently cleanses skin without stripping its natural oils,4.5,17 Ratings
473,SBL Drops No. 5 (For Cervical Pain),SBL Pvt Ltd,SBL drops No. 5 brings prompt relief in cervical pain and associated symptoms,Relieves neck and shoulder pain,4.5,282 Ratings
474,Dr. Reckeweg China Dilution 30 CH,Dr Reckeweg & Co,Highly potent remedy for the treatment of stomach disorders including nausea and vomiting,Relieves digestive disorders,4.6,413 Ratings
475,Sunny Herbals Hair Removal Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Effortlessly removes unwanted hair without causing irritation or discomfort,Provides gentle hair removal experience,4.3,23 Ratings
476,SBL Natrum Muriaticum Dilution 30 CH,SBL Pvt Ltd,Natrum Muriaticum,Treats inflammation of the frontal sinuses and relieves congestive headache,4.5,561 Ratings
477,Dr Willmar Schwabe India Nux Vomica Dilution 30 CH,Dr Willmar Schwabe India Pvt Ltd,Nux Vomica,It reduces inflammation,4.6,624 Ratings
478,Sunny Herbals Neem Tulsi Soap,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Neem and tulsi work together to cleanse deeply, removing impurities and excess oils",Helps to effectively get rid of impurities,4.3,54 Ratings
479,Dr Willmar Schwabe India Rauwolfia Serpentina Tablet 1X,Dr Willmar Schwabe India Pvt Ltd,Rauvolfia Serpentina,Helps regulate blood pressure levels,4.6,163 Ratings
480,Dr Willmar Schwabe India Jaborandi Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,Jaborandi,"Indicated in profuse perspiration, hair fall,greying of hair, sleeplessness and diarrhoea",4.4,269 Ratings
481,Sunny Herbals Lip Balm,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with almond oil and vitamin E, it deeply moisturises and nourishes lips, preventing dryness",Deeply moisturize dry and chapped lips,4.3,102 Ratings
482,Dr. Reckeweg Arsenicum Album 200 CH Dilution,Dr Reckeweg & Co,The formulation can help provide relief from acidity and indigestion,Helps in the treatment of stomach disorders,4.7,563 Ratings
483,ADEL 21 Proscenat Drop,Adel Pekana Germany,Acidum sulfuricum,Alleviates inability to empty bladder,4.5,162 Ratings
484,Sunny Herbals Hair Pack,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Topical arnica oil application may clear sebum oil and other impurities on your scalp that can block hair follicles,Helps delay premature greying,3.7,17 Ratings
485,Bakson's Homeopathy Homoeopathic Formula P Tablet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Provides relief in problems of prostrate that helps to avoid surgery,Provides relief from prostate issues,4.6,65 Ratings
486,SBL Sulphur Dilution 30 CH,SBL Pvt Ltd,Sugar of milk,This dilution can help improve skin ailments,4.4,1198 Ratings
487,Sunny Herbals Boro Arnica Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"This product effectively promotes the healing of minor wounds, cuts, cold sores, and chapped hands and feet with its soothing and disinfecting properties",Helps heal minor cuts,4,34 Ratings
488,SBL AT-Tabs Ant- Traumatic Tablet,SBL Pvt Ltd,It can help as first-aid in all cases of trauma and accidents and for the prevention of shock,It can help to condition injury and accident trauma,4.6,247 Ratings
489,Bakson's Homeopathy Mig Aid Tablet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Provides relief in congestive headache, headache due to sun, exertion, fatigue, stress, eye strain, climate change, depression",Provides relief from migraines and headaches,4.5,66 Ratings
490,Bakson's Sunny Arnica Hair Oil with Jaborandi,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Arnica, Amla, Brahmi, and Bhringraj",Best natural oil for hair growth and shiny hair,4.4,70 Ratings
491,SBL Gelsemium Sempervirens Dilution 30 CH,SBL Pvt Ltd,Natural Minerals,"Manages colds, flu and sore throat",4.6,620 Ratings
492,Dr. Reckeweg Belladonna Dilution 200 CH,Dr Reckeweg & Co,Effective in the treatment of spasms of the gastrointestinal tracts,Alleviates gastrointestinal spasms,4.7,417 Ratings
493,Sunny Herbals Arnica Montana Hair Oil,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Arnica montana,Stimulates circulation,3.9,14 Ratings
494,Dr Willmar Schwabe India Zauber Hair Drop,Dr Willmar Schwabe India Pvt Ltd,Acidum phosphoricum 3X 10% v/v,It helps manage hair fall,4.4,38 Ratings
495,SBL Withania Somnifera Mother Tincture Q,SBL Pvt Ltd,Withania somnifera,Manages bone health ,4.6,298 Ratings
496,SBL Sepia Dilution 200 CH,SBL Pvt Ltd,Sepia,Beneficial for managing concerns associated with menopause,4.5,476 Ratings
497,SBL Alfalfa Tonic with Ginseng,SBL Pvt Ltd,Alfalfa,Helps to increase the appetite,4.4,964 Ratings
498,SBL Thiosinaminum Trituration Tablet 3X,SBL Pvt Ltd,Rhodallin,Useful for middle ear infection,4.5,130 Ratings
499,Dr. Reckeweg R72 Pancreas Drop,Dr Reckeweg & Co,Apis,Helps in pancreatic issues,4.4,111 Ratings
500,Dr. Reckeweg Crataegus Mother Tincture Q,Dr Reckeweg & Co,Provides effective relief from chest pain,Regulates blood pressure,4.7,174 Ratings
501,SBL Blatta Orientalis Mother Tincture Q,SBL Pvt Ltd,Triturated live insects,Reduces breathing-related concerns,4.5,230 Ratings
502,SBL Caladium Seguinum Dilution 200 CH,SBL Pvt Ltd,Primarily used for the treatment of sexual and lung disorders in men,Treats conditions related to sexual exhaustion in men,4.2,780 Ratings
503,Dr. Reckeweg R70 Neuralgia Drop,Dr Reckeweg & Co,Cedron,Helps reduce nerve pain,4.5,182 Ratings
504,Dr. Reckeweg Ginseng Mother Tincture Q,Dr Reckeweg & Co,"Ginseng Mother Tincture Q is useful for treating a number of issues such as weak memory, debility, and muscle ache",Improves your digestive health,4.5,233 Ratings
505,Sunny Herbals Anti Wrinkle Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Aloe vera,It reduces fine lines and wrinkles,4.5,44 Ratings
506,Sunny Herbals Hair Color 12 Sachets Dark Brown,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with henna powder, this product imparts rich, natural colour to your hair without harsh chemicals","Promotes hair strength, shine, and scalp health",4.3,88 Ratings
507,ADEL 5 Apo-Stom Drop,Adel Pekana Germany,Antimonium crudum 6X,"Supports digestive tract function and regulation, heals mucosal bleeding and relieves cramps",4.5,158 Ratings
508,Sunny Herbals Hair Color Light Brown Sachet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Amla,Ensures a lasting light brown shade,4.6,22 Ratings
509,SBL Histaminum Dilution 200 CH,SBL Pvt Ltd,Histamine Hydrochloride,Useful for various skin issues,4.5,672 Ratings
510,SBL Alfalfa Mother Tincture Q,SBL Pvt Ltd,Plant Extract Of Medicago Sativa,Helps to maintain the cholesterol levels,4.4,311 Ratings
511,Sunny Herbals Foot Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Aloevera,Medicated antiseptic foot cream to provide instant hydration,4.6,26 Ratings
512,SBL Aesculus Hippocastanum Dilution 30 CH,SBL Pvt Ltd,"It is used for the treatment of varicose veins, haemorrhoids and swollen veins","Helpful for diarrhoea, fever and enlarged prostate",4.6,361 Ratings
513,SBL Chionanthus Virginica Mother Tincture Q,SBL Pvt Ltd,Highly effective in the treatment of headache of all kinds and cures several liver conditions,Useful for liver conditions,4.6,130 Ratings
514,SBL Fraxinus Americana Mother Tincture Q,SBL Pvt Ltd,Fraxinus Americana Mother Tincture Q helps to reduce or remove the unnecessary discharge from the vagina,Cramps in the feet with hot flashes are effectively recovered with the help of Fraxinus Americana,4.5,91 Ratings
515,SBL Tonicard Gold Drop Homeopathic Medicine,SBL Pvt Ltd,It is a cardiac tonic that provides natural cardio glycosides and thus tones up heart muscles,It is a cardiac tonic that tones up heart muscles,4.7,876 Ratings
516,Sunny Herbals Under Eye Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Revitalises the skin around the eyes: The cream contains essential oils, aloe vera, arnica, and cucumber distillates, which work in synergy to rejuvenate the skin around the eyes. This revitalization results in a visibly brighter and smoother appearance, making your eyes look more refreshed",Revitalises the skin around the eyes,4.2,58 Ratings
517,SBL Stobal Cough Syrup Sugar Free,SBL Pvt Ltd,It is a highly efficacious remedy for acute catarrhal conditions of the respiratory tract,It is a highly efficacious remedy for acute catarrhal conditions of the respiratory tract,4.6,1626 Ratings
518,Bjain Terminalia Arjuna Mother Tincture Q,Bjain Pharmaceuticals Pvt Ltd,It is used for improving cardiovascular health,Effective in the treatment of spermatorrhoea and gonorrhoea,4.7,164 Ratings
519,Sunny Herbals Hair Color 12 Sachets Light Brown,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with henna powder, this product imparts rich, natural colour to your hair without harsh chemicals","Promotes hair strength, shine, and scalp health",4.3,88 Ratings
520,SBL Tonsilat Tablet,SBL Pvt Ltd,Mercurius iodatus ruber HPI,It can help to condition tonsils,4.6,199 Ratings
521,SBL Sulphur Ointment,SBL Pvt Ltd,Sulphur 1 x in ointment base,Helps with eczema,4.3,236 Ratings
522,Sunny Herbals Hair Color 12 Sachets Burgundy,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with henna powder, this product imparts rich, natural colour to your hair without harsh chemicals","Promotes hair strength, shine, and scalp health",4.3,88 Ratings
523,Bakson's Homeopathy Mig Aid Tablet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Provides relief in congestive headache, headache due to sun, exertion, fatigue, stress, eye strain, climate change, depression",Provides relief from migraines and headaches,4.5,66 Ratings
524,ADEL 64 Mundipur Uric Acid Drop,Adel Pekana Germany,Berberis Vulgaris,Works as a supportive remedy for symptoms related to excessive accumulation of urea and creatinine in the blood,4.4,163 Ratings
525,Bakson's Sunny Arnica Hair Oil with Jaborandi,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Arnica, Amla, Brahmi, and Bhringraj",Best natural oil for hair growth and shiny hair,4.4,70 Ratings
526,SBL Arnica Ointment,SBL Pvt Ltd,Arnica montana,Helps with sprains,4.5,269 Ratings
527,SBL Swertia Chirata Mother Tincture Q,SBL Pvt Ltd,Swertia Chirata,Useful for fever,4.6,249 Ratings
528,Sunny Herbals Aloevera+Calendula Bathing Bar,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Aloe vera's moisturising properties help keep the skin hydrated and supple,Gently cleanses skin without stripping its natural oils,4.5,17 Ratings
529,Dr. Reckeweg Arnica Mont Dilution 30 CH,Dr Reckeweg & Co,"Provides effective relief from fainting, dizziness and pain in the head",It helps to restrict bleeding,4.6,552 Ratings
530,SBL Gelsemium Sempervirens Dilution 200 CH,SBL Pvt Ltd,Natural Minerals,"Manages colds, flu and sore throat",4.6,620 Ratings
531,Sunny Herbals Hair Removal Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Effortlessly removes unwanted hair without causing irritation or discomfort,Provides gentle hair removal experience,4.3,23 Ratings
532,SBL Arnica Montana Herbal Shampoo with TJC,SBL Pvt Ltd,"It helps manage dull, dry and coarse hair","It is a herbal shampoo that helps manage dull, dry and coarse hair",4.3,931 Ratings
533,ADEL 29 Akutur Drop,Adel Pekana Germany,Acidum benzoicum 10X,"Eliminates symptoms of bladder inflammation, including pus in the urine and painful urination",4.5,110 Ratings
534,Sunny Herbals Neem Tulsi Soap,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Neem and tulsi work together to cleanse deeply, removing impurities and excess oils",Helps to effectively get rid of impurities,4.3,54 Ratings
535,SBL Cantharis Dilution 30 CH,SBL Pvt Ltd,Primarily used for the treatment of inflamed bladder which causes painful urination,Manages inflamed bladder,4.6,429 Ratings
536,Allen A15 Indigestion Gas & Acidity Drop,Allen Homoeo & Herbal Products Ltd,Nux vomica 3x 1.00 ml,Improves the digestive process,4.3,161 Ratings
537,Sunny Herbals Lip Balm,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with almond oil and vitamin E, it deeply moisturises and nourishes lips, preventing dryness",Deeply moisturize dry and chapped lips,4.3,102 Ratings
538,Hapdco Mensol Tonic,HAPDCO,Janosis Ashoka,Acts as a restorative and uterine tonic,4.4,197 Ratings
539,Dr. Reckeweg Rauwolfia Serp Mother Tincture Q,Dr Reckeweg & Co,Rauvolfia Serpentina,Helps maintain blood pressure levels,4.7,92 Ratings
540,Sunny Herbals Hair Pack,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Topical arnica oil application may clear sebum oil and other impurities on your scalp that can block hair follicles,Helps delay premature greying,3.7,17 Ratings
541,SBL Carica Papaya Mother Tincture Q,SBL Pvt Ltd,"It is primarily used for the treatment of issues related to intestinal infections such as indigestion, constipation and dyspepsia","It is primarily used for the treatment of issues related to intestinal infections such as indigestion, constipation and dyspepsia",4.5,246 Ratings
542,Dr Willmar Schwabe India Damiana Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,It is primarily used to maintain the sexual health ,"It helps to relieve migraines, injuries and prostatic affections",4.4,211 Ratings
543,Sunny Herbals Boro Arnica Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"This product effectively promotes the healing of minor wounds, cuts, cold sores, and chapped hands and feet with its soothing and disinfecting properties",Helps heal minor cuts,4,34 Ratings
544,SBL Bio-Combination 28 Tablet,SBL Pvt Ltd,"Cacarea fluorica 3x HPI, Calcarea phosphorica 3x HPI, Calcarea sulphurica 3x HPI, Ferrum phosphoricum 3x HPI, Kali muriaticum 3x HPI, Kali phosphoricum 3x HPI, Kali sulphuricum 3x HPI, Magnesium phosphoricum 3x HPI, Natrum muriaticum 3x HPI, Natrum phosphoricum 3x HPI, Natrum sulphuricum 3x HPI, Silicea 3x HPI in equal proportion , Excipients q. s. to 1 tablet of 100mg",Provides tissue nutrition,4.5,339 Ratings
545,ADEL 51 Psy-Stabil Drop,Adel Pekana Germany,Acidum Phosphoricum 6X,Prevents hyper acidification of the heart muscle,4.6,170 Ratings
546,Bakson's Sunny Arnica Hair Oil with Jaborandi,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Arnica, Amla, Brahmi, and Bhringraj",Best natural oil for hair growth and shiny hair,4.4,70 Ratings
547,SBL Ipecacuanha Dilution 30 CH,SBL Pvt Ltd,Tincture and trituration of the dried root i.e is Ipecac Root,Effective for nausea and vomiting,4.6,342 Ratings
548,SBL Spongia Tosta Dilution 30 CH,SBL Pvt Ltd,"Ocean animal sponge, Ethanol, Water",Relieves persistent dry cough,4.6,294 Ratings
549,Sunny Herbals Arnica Montana Hair Oil,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Arnica montana,Stimulates circulation,3.9,14 Ratings
550,Bjain Berberis Vulgaris Mother Tincture Q,Bjain Pharmaceuticals Pvt Ltd,Gallstone,Manages concerns associated with kidney stones,4.6,134 Ratings
551,SBL Abroma Augusta Mother Tincture Q,SBL Pvt Ltd,Primarily used for the treatment of diabetes and its associated ailments,Effective for diabetes induced bodily weakness and exhaustion,4.6,254 Ratings
552,SBL Thyroidinum Trituration Tablet 6X,SBL Pvt Ltd,Thyroidinium,Effective in cases of hyperthyroidism,4.5,139 Ratings
553,Dr. Reckeweg Damiana Mother Tincture Q,Dr Reckeweg & Co,Damiana mother tincture Q is primarily used for the management of sexual health in men,Restores lost vigour and vitality,4.5,206 Ratings
554,SBL Nuphar Lutea Mother Tincture Q,SBL Pvt Ltd,Nuphar Lutea,Keeps you energized and reduces fatigue,4.2,114 Ratings
555,Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,Carduus marianus,Supports liver health,4.5,129 Ratings
556,SBL Quality Globules (Grade Sugar 30),SBL Pvt Ltd,Pure pharma sugar,Free from additives,4.5,59 Ratings
557,SBL Ruta Graveolens Dilution 30 CH,SBL Pvt Ltd,Ruta Graveolens,Manages concerns associated with arthritic and rheumatic pains,4.6,729 Ratings
558,ADEL 11 Defaeton Drop,Adel Pekana Germany,Boldo,Lubricates the intestinal lining which helps in easy passing of the stools,4.3,173 Ratings
559,Medisynth Kofeez Cough Syrup,Medisynth Chemicals Pvt Ltd,Blatta Orientalis,Helps to relieve cough,4.5,151 Ratings
